"","CAP1","CAP2","dataset"
"CM",0.390658492301021,0.590795983303144,"V9-micro"
"GNCM",0.00613209550275426,0.158640228901255,"V9-micro"
"eSNCM",-0.0463029046511842,-0.752205768640156,"V9-micro"
"unassessed",0.767584635128176,0.366649000773162,"V9-micro"
"parasite",0.18684928158125,0.221971014023285,"V9-micro"
"diatoms",-0.593774783593772,0.567117885893194,"V9-micro"
"protozooplankton",-0.168060940315069,-0.160450919986098,"V9-micro"
"temperature",0.798316210566044,-0.243778211979034,"V9-micro"
"salinity",0.360347167596875,-0.161735563183156,"V9-micro"
"nitrate",-0.717533654053441,0.333483214156177,"V9-micro"
