"","type","comclust","avg","mean_relab_clust","relab_adjusted","dataset"
"1","CM",1,0.0333902498732393,0.0400578929186932,-0.00666764304545391,"V4-total"
"2","CM",2,0.109887101986679,0.0400578929186932,0.0698292090679862,"V4-total"
"3","CM",3,0.0276746768168426,0.0400578929186932,-0.0123832161018506,"V4-total"
"4","CM",4,0.0205012865211129,0.0400578929186932,-0.0195566063975803,"V4-total"
"5","CM",5,0.00883614939559189,0.0400578929186932,-0.0312217435231013,"V4-total"
"6","GNCM",1,0.00123017879594032,0.00096807479506898,0.000262104000871338,"V4-total"
"7","GNCM",2,0.00111609351882179,0.00096807479506898,0.00014801872375281,"V4-total"
"8","GNCM",3,0.00120160356851875,0.00096807479506898,0.000233528773449769,"V4-total"
"9","GNCM",4,0.00102070698471402,0.00096807479506898,5.26321896450407e-05,"V4-total"
"10","GNCM",5,0.000271791107350022,0.00096807479506898,-0.000696283687718959,"V4-total"
"11","eSNCM",1,0.010175883957307,0.00690332223834075,0.00327256171896625,"V4-total"
"12","eSNCM",2,0.00168045559256056,0.00690332223834075,-0.00522286664578019,"V4-total"
"13","eSNCM",3,0.00630832064045944,0.00690332223834075,-0.000595001597881311,"V4-total"
"14","eSNCM",4,0.0151230493807214,0.00690332223834075,0.00821972714238064,"V4-total"
"15","eSNCM",5,0.00122890162065536,0.00690332223834075,-0.00567442061768539,"V4-total"
"16","unassessed",1,0.348562664342961,0.293067746201583,0.0554949181413781,"V4-total"
"17","unassessed",2,0.291519163368619,0.293067746201583,-0.00154858283296344,"V4-total"
"18","unassessed",3,0.350558135001941,0.293067746201583,0.0574903888003587,"V4-total"
"19","unassessed",4,0.305891433750572,0.293067746201583,0.012823687548989,"V4-total"
"20","unassessed",5,0.16880733454382,0.293067746201583,-0.124260411657762,"V4-total"
"21","pSNCM",1,0.00127555194876444,0.000740157560586629,0.000535394388177807,"V4-total"
"22","pSNCM",2,0.00108629656461292,0.000740157560586629,0.000346139004026292,"V4-total"
"23","pSNCM",3,0.000353753663369681,0.000740157560586629,-0.000386403897216947,"V4-total"
"24","pSNCM",4,9.47925137644377e-05,0.000740157560586629,-0.000645365046822191,"V4-total"
"25","pSNCM",5,0.000890393112421667,0.000740157560586629,0.000150235551835039,"V4-total"
"26","parasite",1,0.194141227285407,0.255700880019334,-0.0615596527339266,"V4-total"
"27","parasite",2,0.0716454156092318,0.255700880019334,-0.184055464410102,"V4-total"
"28","parasite",3,0.358812874551813,0.255700880019334,0.103111994532479,"V4-total"
"29","parasite",4,0.409706918636121,0.255700880019334,0.154006038616786,"V4-total"
"30","parasite",5,0.244197964014097,0.255700880019334,-0.0115029160052369,"V4-total"
"31","diatoms",1,0.158355104089219,0.107028471511418,0.0513266325778005,"V4-total"
"32","diatoms",2,0.214772564985912,0.107028471511418,0.107744093474494,"V4-total"
"33","diatoms",3,0.0218203357083179,0.107028471511418,-0.0852081358031004,"V4-total"
"34","diatoms",4,0.0162114302110756,0.107028471511418,-0.0908170413003427,"V4-total"
"35","diatoms",5,0.123982922562567,0.107028471511418,0.0169544510511489,"V4-total"
"36","protozooplankton",1,0.252869139707162,0.295533454754975,-0.0426643150478135,"V4-total"
"37","protozooplankton",2,0.308292908373562,0.295533454754975,0.0127594536185869,"V4-total"
"38","protozooplankton",3,0.233270300048737,0.295533454754975,-0.0622631547062386,"V4-total"
"39","protozooplankton",4,0.231450382001919,0.295533454754975,-0.0640830727530559,"V4-total"
"40","protozooplankton",5,0.451784543643496,0.295533454754975,0.156251088888521,"V4-total"
